SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539275,MSL         ,M ,Q,105.85,105.95,92.20,98.30,101.10,101.00,8,21000,2074725.00,
539276,KAYA        ,B ,Q,1001.00,1005.00,988.00,1000.90,992.70,1033.55,135,2009,2009275.00,
539278,SYMBIOX     ,ST,Q,0.95,0.95,0.95,0.95,0.95,0.95,10,34730,32993.00,
539287,ORTINLAABS  ,B ,Q,17.30,17.40,16.65,16.85,17.40,17.20,30,5078,85389.00,
539289,MJCO        ,B ,Q,485.40,510.00,480.60,490.85,490.85,503.85,824,13799,6819054.00,
539290,BINDALAGRO  ,B ,Q,25.90,25.90,24.50,25.40,25.40,26.15,69,15916,399984.00,
539300,AKSPINTEX   ,X ,Q,36.05,36.05,36.05,36.05,36.05,37.90,1,200,7210.00,
539301,ARVSMART    ,B ,Q,179.90,186.00,178.40,182.70,184.00,183.50,119,7496,1351183.00,
539302,POWERMECH   ,B ,Q,836.00,857.00,828.50,847.70,847.70,849.90,52,1645,1370485.00,
539309,RAMASTEEL   ,T ,Q,184.00,194.05,175.65,176.10,178.00,184.85,56,2856,510375.00,
539310,OYEEEE      ,M ,Q,21.50,21.50,21.50,21.50,21.50,21.90,8,24000,516000.00,
539311,NFIL        ,XT,Q,14.40,14.40,14.40,14.40,14.40,14.43,6,3690,53136.00,
539312,UTISENSETF  ,B ,Q,340.00,340.00,336.00,336.00,336.00,347.00,6,104,35152.00,
539313,UTINIFTETF  ,B ,Q,1040.00,1040.00,1036.00,1036.00,1036.00,1040.10,2,2,2076.00,
539314,UNIAUTO     ,M ,Q,56.85,56.85,56.85,56.85,56.85,58.00,1,2000,113700.00,
539331,VETO        ,B ,Q,190.10,190.10,184.55,186.75,184.55,189.95,185,17249,3234442.00,
